"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","365",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Wed Mar 05 19:35:18 IST 2025","passed","Wed Mar 05 19:35:18 IST 2025","","Cypress.dom","",""
"","622","Get CPU architecture name of underlying OS","Cypress APIs","Wed Mar 05 19:35:13 IST 2025","passed","Wed Mar 05 19:35:14 IST 2025","","Cypress.arch","",""
"","345","Cypress.$ - call a jQuery method","Utilities","Wed Mar 05 19:37:12 IST 2025","passed","Wed Mar 05 19:37:12 IST 2025","","","",""
"","962","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Wed Mar 05 19:35:36 IST 2025","passed","Wed Mar 05 19:35:37 IST 2025","","","",""
"","1207","cy.getAllCookies() - get all browser cookies","Cookies","Wed Mar 05 19:34:42 IST 2025","passed","Wed Mar 05 19:34:43 IST 2025","","","",""
"","927","finds element by class name regex","Assertions","Wed Mar 05 19:34:11 IST 2025","passed","Wed Mar 05 19:34:12 IST 2025","","Explicit Assertions","",""
"","1655","cy.reload() - reload the page","Navigation","Wed Mar 05 19:35:09 IST 2025","passed","Wed Mar 05 19:35:11 IST 2025","","","",""
"","1185",".and() - chain multiple assertions together","Assertions","Wed Mar 05 19:34:07 IST 2025","passed","Wed Mar 05 19:34:08 IST 2025","","Implicit Assertions","",""
"","207","Cypress.minimatch - test out glob patterns against strings","Utilities","Wed Mar 05 19:37:13 IST 2025","passed","Wed Mar 05 19:37:13 IST 2025","","","",""
"","720",".invoke() - invoke a function on the current subject","Connectors","Wed Mar 05 19:34:40 IST 2025","passed","Wed Mar 05 19:34:40 IST 2025","","","",""
"","224",".last() - get last DOM element","Traversal","Wed Mar 05 19:37:02 IST 2025","passed","Wed Mar 05 19:37:02 IST 2025","","","",""
"","854","cy.contains() - query DOM elements with matching content","Querying","Wed Mar 05 19:35:31 IST 2025","passed","Wed Mar 05 19:35:32 IST 2025","","","",""
"","343","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Mar 05 19:36:08 IST 2025","passed","Wed Mar 05 19:36:08 IST 2025","","","",""
"","2393",".clear() - clears an input or textarea element","Actions","Wed Mar 05 19:34:32 IST 2025","passed","Wed Mar 05 19:34:35 IST 2025","","","",""
"","1104",".scrollIntoView() - scroll an element into view","Actions","Wed Mar 05 19:34:50 IST 2025","passed","Wed Mar 05 19:34:51 IST 2025","","","",""
"","1723","can add new todo items","example to-do app","Wed Mar 05 19:34:27 IST 2025","passed","Wed Mar 05 19:34:28 IST 2025","","","",""
"","256",".parent() - get parent DOM element from DOM elements","Traversal","Wed Mar 05 19:37:03 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","715",".each() - iterate over an array of elements","Connectors","Wed Mar 05 19:34:38 IST 2025","passed","Wed Mar 05 19:34:39 IST 2025","","","",""
"","900","cy.request() with query parameters","Network Requests","Wed Mar 05 19:35:06 IST 2025","passed","Wed Mar 05 19:35:07 IST 2025","","","",""
"","757","Get environment variables","Cypress APIs","Wed Mar 05 19:35:18 IST 2025","passed","Wed Mar 05 19:35:19 IST 2025","","Cypress.env()","",""
"","592","Get underlying OS name","Cypress APIs","Wed Mar 05 19:35:20 IST 2025","passed","Wed Mar 05 19:35:20 IST 2025","","Cypress.platform","",""
"","233",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Wed Mar 05 19:37:04 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","2692","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Wed Mar 05 19:35:33 IST 2025","passed","Wed Mar 05 19:35:35 IST 2025","","","",""
"","1972",".uncheck() - uncheck a checkbox element","Actions","Wed Mar 05 19:34:45 IST 2025","passed","Wed Mar 05 19:34:47 IST 2025","","","",""
"","749","cy.setCookie() - set a browser cookie","Cookies","Wed Mar 05 19:34:43 IST 2025","passed","Wed Mar 05 19:34:44 IST 2025","","","",""
"","1393",".submit() - submit a form","Actions","Wed Mar 05 19:34:35 IST 2025","passed","Wed Mar 05 19:34:36 IST 2025","","","",""
"","4720","cy.screenshot() - take a screenshot","Misc","Wed Mar 05 19:35:52 IST 2025","passed","Wed Mar 05 19:35:56 IST 2025","","Cypress.Screenshot","",""
